
[2019-07-08 18:31:59.945] 062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:33:28.214] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:28.718] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:29.221] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:29.722] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:30.226] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:30.730] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:31.227] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:31.733] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:32.237] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:32.737] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:33.237] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:33.741] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:34.244] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:34.745] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:35.246] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:35.751] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:36.255] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:36.751] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:37.256] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:37.763] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:38.262] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:38.765] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:39.269] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:39.769] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:40.272] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:40.774] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:41.274] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:41.780] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:42.280] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:42.784] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:43.287] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:43.787] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:44.290] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:44.792] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:45.292] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:45.796] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:46.298] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:46.799] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:47.305] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:47.805] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:48.309] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:48.813] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:49.312] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:49.817] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:50.320] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:50.818] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:51.322] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:51.822] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:52.326] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:52.831] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:53.329] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:53.834] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045313
[2019-07-08 18:33:54.331] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:54.837] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:55.341] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:55.845] ORANGE REACTOR:,	0.063477	SILVER REACTOR:,	0.045117
